date,regular,tree
2024-05,0.028856488,0.04442465
2024-06,0.038806227,0.043514991
2024-07,-0.00523697,0.001674525
2024-08,0.025171488,0.028237725
2024-09,0.029349141,0.00265914
2024-10,0.020503461,0.023116265
2024-11,0.052398036,0.057050773
2024-12,-0.024004893,-0.025829915
2025-01,0.021022581,0.022449889
2025-02,-0.032436012,-0.031093692
2025-03,-0.03602601,-0.038862022
2025-04,-0.010508132,-0.010518089
